emotions,img
Angrily Surprised,"[[ 28  25  43 ... 126 126 126]
 [ 28  25  43 ... 126 126 126]
 [ 28  25  43 ... 126 126 126]
 ...
 [ 28  23  48 ... 123 110  15]
 [ 25  23  48 ... 137 128  34]
 [ 26  25  44 ... 129 122  34]]"
Angrily Surprised,"[[236 241 237 ... 229 234 240]
 [239 240 234 ... 236 236 237]
 [241 244 239 ... 234 237 237]
 ...
 [234 235 235 ... 230 239 241]
 [236 239 238 ... 238 238 236]
 [238 238 238 ... 238 238 238]]"
Appalled,"[[238 237 239 ... 238 238 238]
 [240 237 236 ... 234 237 237]
 [238 235 234 ... 237 239 238]
 ...
 [237 243 250 ... 239 242 243]
 [236 241 245 ... 238 240 241]
 [234 239 240 ... 236 234 234]]"
Awed,"[[122 120 121 ... 152 153  49]
 [123 121 122 ... 152 152  48]
 [124 122 122 ... 152 152  48]
 ...
 [154 149 152 ... 161 151  47]
 [152 149 153 ... 151 151  47]
 [151 151 151 ... 152 152  48]]"
Awed,"[[238 237 236 ... 234 237 236]
 [234 235 236 ... 234 236 236]
 [237 239 241 ... 228 234 235]
 ...
 [237 240 240 ... 236 238 238]
 [236 239 240 ... 237 238 239]
 [234 237 239 ... 235 238 239]]"
Disgustedly Surprised,"[[255 255 255 ... 250 253 254]
 [225 225 225 ... 235 254 254]
 [169 169 169 ... 203 247 254]
 ...
 [218 233 233 ... 216 253 251]
 [252 252 252 ... 251 252 252]
 [252 252 252 ... 252 252 252]]"
Disgustedly Surprised,"[[ 66 100 137 ... 179 249 254]
 [ 71 105 142 ... 190 253 253]
 [ 79 113 150 ... 200 255 252]
 ...
 [160 185 198 ... 204 254 252]
 [236 251 252 ... 253 255 247]
 [253 249 248 ... 251 248 251]]"
Disgustedly Surprised,"[[208 207 207 ... 212 213 200]
 [208 207 207 ... 213 215 206]
 [208 207 207 ... 209 211 207]
 ...
 [ 75  68  78 ...  40  30  21]
 [ 73  68  62 ...  39  39  17]
 [ 79  73  66 ...  42  41  17]]"
Disgustedly Surprised,"[[237 237 235 ... 236 242 234]
 [234 234 231 ... 232 237 230]
 [234 232 230 ... 230 234 231]
 ...
 [251 251 252 ... 234 236 239]
 [251 251 251 ... 236 237 240]
 [240 240 241 ... 237 239 241]]"
Fearfully Angry,"[[173 173 172 ... 172 172 172]
 [172 172 172 ... 172 173 172]
 [172 172 172 ... 172 173 172]
 ...
 [241 234 220 ... 245 240 235]
 [249 252 249 ... 247 255 255]
 [252 251 251 ... 255 247 252]]"
Fearfully Angry,"[[254 221 162 ... 111 133 164]
 [255 222 164 ...  92 113 142]
 [255 225 166 ... 103 122 147]
 ...
 [255 242 159 ... 206 228 243]
 [250 251 253 ... 250 249 251]
 [251 252 253 ... 250 249 251]]"
Fearfully Angry,"[[212 212 212 ... 209 211 209]
 [215 215 214 ... 209 211 213]
 [213 213 213 ... 209 211 212]
 ...
 [ 37  50  53 ...  26  15  39]
 [ 40  51  57 ...  32  29  35]
 [161 172 181 ... 155 161 164]]"
Fearfully Angry,"[[238 238 236 ... 236 239 238]
 [235 235 234 ... 234 240 237]
 [236 236 234 ... 231 237 237]
 ...
 [236 239 236 ... 239 238 236]
 [236 239 236 ... 238 238 236]
 [236 238 237 ... 239 238 238]]"
Fearfully Disguisted,"[[252 252 252 ... 254 254 254]
 [225 225 225 ... 224 225 225]
 [172 172 172 ... 169 170 170]
 ...
 [199 199 202 ... 154 198 199]
 [194 191 178 ... 152 202 193]
 [243 234 216 ... 216 234 234]]"
Fearfully Disguisted,"[[220 228 226 ... 225 221 223]
 [123 136 138 ... 142 139 142]
 [105 122 129 ... 132 131 135]
 ...
 [252 254 254 ... 250 254 253]
 [250 254 253 ... 251 252 252]
 [253 254 254 ... 248 252 255]]"
Fearfully Disguisted,"[[126 124 125 ... 127 126 126]
 [126 124 125 ... 127 126 126]
 [126 124 125 ... 127 126 126]
 ...
 [ 53  50  42 ...  44  54  46]
 [ 51  50  43 ...  45  52  47]
 [ 48  50  44 ...  42  46  44]]"
Fearfully Disguisted,"[[239 238 237 ... 229 232 236]
 [237 236 236 ... 206 224 231]
 [234 233 233 ... 175 215 225]
 ...
 [238 239 239 ... 236 238 238]
 [237 238 239 ... 238 238 238]
 [238 238 238 ... 238 238 238]]"
Fearfully Surprised,"[[223 223 223 ... 220 222 224]
 [175 175 175 ... 170 173 175]
 [169 169 169 ... 165 167 170]
 ...
 [246 250 252 ... 247 254 255]
 [254 254 254 ... 253 253 254]
 [254 254 254 ... 253 253 254]]"
Fearfully Surprised,"[[129 110 133 ...  91  87  93]
 [105  89 111 ...  64  58  62]
 [118 104 122 ...  78  69  71]
 ...
 [149 162 193 ... 148 163 147]
 [210 212 226 ... 209 215 197]
 [251 249 250 ... 254 254 253]]"
Fearfully Surprised,"[[125 125 126 ... 130 130 127]
 [125 125 126 ... 130 130 127]
 [125 125 126 ... 129 130 127]
 ...
 [ 40  35  36 ...  25   2  17]
 [ 44  37  34 ...  26   3  23]
 [ 53  43  37 ...  23   3  24]]"
Fearfully Surprised,"[[235 234 238 ... 236 234 236]
 [232 233 239 ... 236 237 238]
 [234 234 237 ... 231 235 236]
 ...
 [236 238 238 ... 238 238 238]
 [237 237 238 ... 238 237 238]
 [237 237 238 ... 237 237 238]]"
Happily Disguisted,"[[170 170 170 ... 169 171 172]
 [170 170 170 ... 170 171 172]
 [171 171 171 ... 170 172 173]
 ...
 [246 250 248 ... 246 243 245]
 [244 254 255 ... 250 252 254]
 [252 245 246 ... 254 254 249]]"
Happily Disguisted,"[[250 251 249 ... 251 252 252]
 [249 251 249 ... 244 247 249]
 [181 183 183 ... 174 180 183]
 ...
 [ 96  96  89 ...  94  93  92]
 [105 106 100 ... 103 103 102]
 [200 202 197 ... 202 201 200]]"
Happily Disguisted,"[[127 127 128 ... 125 125 125]
 [127 127 128 ... 125 125 125]
 [127 127 128 ... 125 125 125]
 ...
 [ 18  20  19 ...  36  37  38]
 [ 17  19  18 ...  38  39  39]
 [ 16  18  17 ...  40  41  42]]"
Happily Disguisted,"[[238 236 236 ... 236 236 236]
 [240 231 231 ... 231 234 236]
 [234 231 238 ... 236 234 238]
 ...
 [236 240 248 ... 241 247 251]
 [238 238 238 ... 240 241 241]
 [238 238 238 ... 236 234 234]]"
Happily Disguisted,"[[240 240 240 ... 240 241 242]
 [198 198 198 ... 197 198 199]
 [171 171 171 ... 169 170 171]
 ...
 [193 193 193 ... 178 181 193]
 [193 193 193 ... 180 181 192]
 [193 193 193 ... 182 182 190]]"
Happily Surprised,"[[253 253 254 ... 254 254 254]
 [253 253 254 ... 254 253 253]
 [206 206 206 ... 203 203 203]
 ...
 [210 211 189 ... 165 203 204]
 [248 244 239 ... 236 241 245]
 [254 254 252 ... 249 251 253]]"
Happily Surprised,"[[255 249 242 ... 246 251 252]
 [247 220 177 ... 170 178 180]
 [251 214 132 ... 123 135 138]
 ...
 [255 237 193 ... 139 103 101]
 [255 237 192 ... 134  97  97]
 [254 237 199 ... 137 110 105]]"
Happily Surprised,"[[123 123 123 ... 127 127 127]
 [123 123 123 ... 127 127 127]
 [123 123 123 ... 127 127 127]
 ...
 [ 77  70  67 ...  59  60  58]
 [123 123 123 ... 129 128 127]
 [124 124 124 ... 130 128 127]]"
Happily Surprised,"[[155 160 145 ... 152 152 152]
 [145 146 127 ... 126 126 126]
 [156 155 132 ... 126 126 126]
 ...
 [153 152  16 ...  43  50  53]
 [153 153  14 ...  42  36  33]
 [152 152  13 ...  44  42  39]]"
Happily Surprised,"[[238 238 237 ... 235 235 240]
 [239 239 238 ... 230 231 240]
 [238 238 237 ... 232 235 244]
 ...
 [238 238 238 ... 234 243 252]
 [238 238 238 ... 241 246 247]
 [238 238 238 ... 235 239 239]]"
Hatred,"[[208 208 209 ... 206 210 212]
 [208 209 209 ... 206 210 216]
 [209 209 209 ... 206 211 217]
 ...
 [ 46  39  20 ...  70  42  36]
 [ 34  38  19 ...  60  34  23]
 [ 40  41  25 ...  59  33  26]]"
Hatred,"[[238 238 238 ... 239 237 236]
 [236 237 237 ... 237 235 236]
 [236 237 238 ... 242 237 235]
 ...
 [237 239 241 ... 239 241 241]
 [236 236 234 ... 237 239 238]
 [236 237 237 ... 237 238 238]]"
Sadly Angry,"[[168 168 168 ... 167 169 170]
 [169 168 168 ... 167 170 171]
 [169 169 169 ... 168 170 172]
 ...
 [254 244 239 ... 246 240 244]
 [251 252 254 ... 254 251 248]
 [249 254 254 ... 250 253 254]]"
Sadly Angry,"[[250 255 251 ... 255 255 255]
 [252 255 247 ... 250 255 255]
 [255 255 249 ... 247 252 255]
 ...
 [192 213 204 ... 155 183 213]
 [245 247 230 ... 218 233 249]
 [243 250 249 ... 248 250 253]]"
Sadly Angry,"[[125 126 127 ... 125 125 125]
 [125 126 127 ... 125 125 125]
 [126 126 127 ... 125 125 125]
 ...
 [ 40  33  42 ...  42  42  49]
 [ 36  29  33 ...  42  41  44]
 [ 33  29  31 ...  45  36  33]]"
Sadly Angry,"[[254 253 253 ... 253 253 255]
 [253 254 254 ... 254 253 255]
 [207 207 208 ... 206 205 205]
 ...
 [ 69  64  36 ...  66  72  86]
 [ 67  62  35 ...  67  70  79]
 [ 65  60  34 ...  67  68  74]]"
Sadly Angry,"[[236 235 238 ... 234 241 236]
 [232 231 234 ... 231 234 239]
 [237 236 238 ... 221 233 235]
 ...
 [237 238 248 ... 237 236 237]
 [237 239 248 ... 238 236 237]
 [236 239 247 ... 239 237 236]]"
Sadly Disguisted,"[[254 254 254 ...  39  56  52]
 [253 253 253 ...  54  53  51]
 [203 203 203 ...  53  40  53]
 ...
 [176 119  71 ... 137 156 250]
 [177 140 111 ... 163 179 246]
 [232 231 228 ... 242 242 252]]"
Sadly Disguisted,"[[254 250 247 ... 244 253 234]
 [122 127 132 ... 176 250 247]
 [ 74  90 103 ... 144 245 252]
 ...
 [ 64  24  23 ... 122 251 252]
 [ 60  19  19 ... 121 250 253]
 [ 84  40  42 ... 128 245 252]]"
Sadly Disguisted,"[[125 125 125 ... 127 129 129]
 [125 125 125 ... 127 129 129]
 [126 126 126 ... 127 129 129]
 ...
 [ 22  35  20 ...  34  20  22]
 [ 21  34  18 ...  30  20  21]
 [ 21  31  14 ...  27  19  21]]"
Sadly Disguisted,"[[235 241 233 ... 238 238 237]
 [235 242 236 ... 235 234 233]
 [232 239 236 ... 237 236 234]
 ...
 [232 236 234 ... 238 240 242]
 [233 238 236 ... 238 240 242]
 [231 239 238 ... 236 238 240]]"
Sadly Fearful,"[[253 253 253 ... 255 255 255]
 [254 254 254 ... 255 255 255]
 [251 251 251 ... 251 251 250]
 ...
 [246 249 247 ... 247 247 246]
 [253 254 254 ... 255 255 255]
 [252 254 254 ... 252 252 252]]"
Sadly Fearful,"[[251 251 253 ... 252 250 255]
 [251 251 253 ... 255 251 255]
 [250 251 253 ... 245 238 255]
 ...
 [157 204 233 ... 164 172 188]
 [215 240 250 ... 217 221 229]
 [254 255 253 ... 253 253 255]]"
Sadly Fearful,"[[ 7  4 11 ... 47 48 46]
 [10  6 11 ... 50 50 50]
 [50 45 47 ... 68 68 68]
 ...
 [26 24 26 ... 38 36 36]
 [22 24 28 ... 39 36 34]
 [20 23 29 ... 46 42 39]]"
Sadly Fearful,"[[236 235 236 ... 236 234 237]
 [238 236 236 ... 236 230 234]
 [238 236 236 ... 226 231 232]
 ...
 [239 242 246 ... 236 240 247]
 [238 239 241 ... 236 241 243]
 [237 235 234 ... 236 240 237]]"
Sadly Surprised,"[[249 251 254 ... 255 255 255]
 [197 199 202 ... 202 202 202]
 [164 167 169 ... 168 169 169]
 ...
 [177 187 199 ... 177 142 117]
 [233 241 251 ... 237 234 222]
 [253 253 253 ... 251 249 249]]"
Sadly Surprised,"[[147 139 137 ... 119 113 118]
 [ 78  86 105 ...  53  45  48]
 [ 86 105 138 ...  97  81  79]
 ...
 [149 183 225 ... 151 152 144]
 [154 185 225 ... 152 152 143]
 [153 183 221 ... 159 158 147]]"
Sadly Surprised,"[[252 252 208 ... 210 210 210]
 [253 254 209 ... 209 209 209]
 [254 255 210 ... 209 209 209]
 ...
 [251 253  30 ...  29  61  38]
 [251 253  31 ...  33  61  33]
 [252 253  34 ...  38  61  27]]"
Sadly Surprised,"[[238 239 239 ... 239 236 239]
 [238 238 238 ... 239 235 237]
 [238 236 237 ... 236 233 236]
 ...
 [237 237 237 ... 242 251 249]
 [236 237 238 ... 244 251 250]
 [234 237 240 ... 239 242 240]]"
